day	posts	likes	reactions	comments	shares
2017-07-07	1	58	63	3	4
2017-07-08	0	0	0	0	0
2017-07-09	0	0	0	0	0
2017-07-10	0	0	0	0	0
2017-07-11	1	73	74	3	4
2017-07-12	1	340	355	46	5
2017-07-13	2	326	370	1	15
2017-07-14	1	28	28	1	0
2017-07-15	0	0	0	0	0
2017-07-16	0	0	0	0	0
2017-07-17	1	40	43	1	2
2017-07-18	1	313	343	25	31
2017-07-19	0	0	0	0	0
2017-07-20	1	108	114	10	9
2017-07-21	1	20	20	3	4
2017-07-22	0	0	0	0	0
2017-07-23	0	0	0	0	0
2017-07-24	2	55	60	15	11
2017-07-25	1	68	68	16	1
2017-07-26	1	158	171	4	12
2017-07-27	1	38	40	6	3
2017-07-28	1	39	44	0	0
2017-07-29	0	0	0	0	0
2017-07-30	0	0	0	0	0
2017-07-31	0	0	0	0	0
2017-08-01	2	583	679	17	30
2017-08-02	1	70	71	3	6
2017-08-03	1	12	12	0	0
2017-08-04	1	662	758	12	28
2017-08-05	0	0	0	0	0
2017-08-06	0	0	0	0	0
2017-08-07	1	342	356	18	22
2017-08-08	1	56	59	19	2
2017-08-09	1	112	125	2	7
2017-08-10	0	0	0	0	0
2017-08-11	1	66	69	2	1
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	1	26	26	0	1
2017-08-16	1	51	55	1	5
2017-08-17	1	23	23	0	1
2017-08-18	1	56	56	0	0
2017-08-19	0	0	0	0	0
2017-08-20	0	0	0	0	0
2017-08-21	1	541	603	57	40
2017-08-22	0	0	0	0	0
2017-08-23	1	25	26	8	1
2017-08-24	1	221	236	7	23
2017-08-25	1	170	194	14	6
2017-08-26	0	0	0	0	0
2017-08-27	0	0	0	0	0
2017-08-28	2	38	38	8	0
2017-08-29	1	73	77	7	7
2017-08-30	2	467	541	29	65
2017-08-31	1	192	200	39	18
2017-09-01	0	0	0	0	0
2017-09-02	0	0	0	0	0
2017-09-03	1	39	40	6	3
2017-09-04	0	0	0	0	0
2017-09-05	2	1241	1354	116	83
2017-09-06	2	70	71	1	0
2017-09-07	1	128	138	4	2
2017-09-08	1	50	56	6	5
2017-09-09	0	0	0	0	0
2017-09-10	0	0	0	0	0
2017-09-11	1	38	40	0	4
2017-09-12	2	59	66	10	12
2017-09-13	1	54	58	1	3
2017-09-14	1	11	12	1	4
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	2	64	69	2	12
2017-09-19	0	0	0	0	0
2017-09-20	2	165	172	2	9
2017-09-21	0	0	0	0	0
2017-09-22	0	0	0	0	0
2017-09-23	0	0	0	0	0
2017-09-24	0	0	0	0	0
2017-09-25	1	15	15	0	0
2017-09-26	0	0	0	0	0
2017-09-27	2	284	304	61	40
2017-09-28	1	18	18	0	0
2017-09-29	1	30	31	3	0
2017-09-30	0	0	0	0	0
2017-10-01	0	0	0	0	0
2017-10-02	1	10	10	0	1
2017-10-03	0	0	0	0	0
2017-10-04	1	177	187	17	24
2017-10-05	2	212	220	37	33
2017-10-06	2	188	206	8	7
2017-10-07	0	0	0	0	0
2017-10-08	0	0	0	0	0
2017-10-09	2	77	77	10	7
2017-10-10	0	0	0	0	0
2017-10-11	1	127	137	11	3
2017-10-12	1	160	175	59	19
2017-10-13	1	131	135	17	8
2017-10-14	3	157	169	24	17
2017-10-15	0	0	0	0	0
2017-10-16	1	25	25	9	1
2017-10-17	1	28	28	0	2
2017-10-18	2	94	95	12	23
2017-10-19	2	1356	1486	227	152
2017-10-20	2	99	105	4	6
2017-10-21	0	0	0	0	0
2017-10-22	0	0	0	0	0
2017-10-23	1	52	52	15	16
2017-10-24	2	26	26	2	2
2017-10-25	1	5	5	1	1
2017-10-26	1	281	319	40	43
2017-10-27	2	259	286	49	25
2017-10-28	0	0	0	0	0
2017-10-29	0	0	0	0	0
2017-10-30	2	57	62	4	0
2017-10-31	1	48	51	1	2
2017-11-01	0	0	0	0	0
2017-11-02	2	21	21	5	2
2017-11-03	1	71	77	2	1
2017-11-04	0	0	0	0	0
2017-11-05	0	0	0	0	0
2017-11-06	0	0	0	0	0
2017-11-07	2	20	20	2	4
2017-11-08	1	49	58	5	4
2017-11-09	2	18	18	3	0
2017-11-10	1	28	31	5	6
2017-11-11	1	64	64	4	5
2017-11-12	0	0	0	0	0
2017-11-13	1	14	14	0	1
2017-11-14	2	172	199	3	13
2017-11-15	1	39	41	1	0
2017-11-16	1	21	21	0	0
2017-11-17	1	103	125	2	4
2017-11-18	0	0	0	0	0
2017-11-19	0	0	0	0	0
2017-11-20	0	0	0	0	0
2017-11-21	0	0	0	0	0
2017-11-22	1	65	72	8	10
2017-11-23	1	47	57	9	1
2017-11-24	0	0	0	0	0
2017-11-25	0	0	0	0	0
2017-11-26	0	0	0	0	0
2017-11-27	0	0	0	0	0
2017-11-28	2	40	42	1	8
2017-11-29	1	549	672	182	45
2017-11-30	0	0	0	0	0
2017-12-01	1	95	103	0	9
2017-12-02	0	0	0	0	0
2017-12-03	0	0	0	0	0
2017-12-04	1	15	15	1	2
2017-12-05	0	0	0	0	0
2017-12-06	1	124	135	6	5
2017-12-07	0	0	0	0	0
2017-12-08	0	0	0	0	0
2017-12-09	0	0	0	0	0
2017-12-10	0	0	0	0	0
2017-12-11	2	708	781	140	54
2017-12-12	0	0	0	0	0
2017-12-13	1	33	34	1	1
2017-12-14	1	17	17	0	4
2017-12-15	1	54	56	10	5
2017-12-16	0	0	0	0	0
2017-12-17	0	0	0	0	0
2017-12-18	1	216	249	22	44
2017-12-19	2	98	105	0	4
2017-12-20	1	75	88	89	4
2017-12-21	1	26	26	5	0
2017-12-22	2	92	96	0	6
2017-12-23	0	0	0	0	0
2017-12-24	0	0	0	0	0
2017-12-25	0	0	0	0	0
2017-12-26	0	0	0	0	0
2017-12-27	0	0	0	0	0
2017-12-28	0	0	0	0	0
2017-12-29	0	0	0	0	0
2017-12-30	0	0	0	0	0
2017-12-31	0	0	0	0	0
2018-01-01	1	282	309	8	3
2018-01-02	1	12	12	2	0
2018-01-03	1	15	15	10	2
2018-01-04	1	86	88	10	11
2018-01-05	0	0	0	0	0
2018-01-06	0	0	0	0	0
2018-01-07	0	0	0	0	0
2018-01-08	1	142	148	0	4
2018-01-09	1	39	41	20	5
2018-01-10	1	17	18	2	1
2018-01-11	1	4	4	7	0
2018-01-12	1	67	73	17	4
2018-01-13	0	0	0	0	0
2018-01-14	0	0	0	0	0
2018-01-15	2	55	57	11	4
2018-01-16	1	362	405	124	28
2018-01-17	1	34	35	7	4
2018-01-18	1	17	18	3	0
2018-01-19	1	12	12	4	0
2018-01-20	0	0	0	0	0
2018-01-21	0	0	0	0	0
2018-01-22	1	39	41	0	3
2018-01-23	1	32	33	0	1
2018-01-24	0	0	0	0	0
2018-01-25	1	42	43	0	1
2018-01-26	1	68	68	17	7
2018-01-27	0	0	0	0	0
2018-01-28	0	0	0	0	0
2018-01-29	2	125	137	10	11
2018-01-30	1	20	22	0	1
2018-01-31	1	109	121	4	5
2018-02-01	1	17	18	0	0
2018-02-02	0	0	0	0	0
2018-02-03	0	0	0	0	0
2018-02-04	0	0	0	0	0
2018-02-05	1	133	142	12	7
2018-02-06	1	11	15	3	2
2018-02-07	1	81	89	6	1
2018-02-08	0	0	0	0	0
2018-02-09	2	39	39	4	6
2018-02-10	0	0	0	0	0
2018-02-11	0	0	0	0	0
2018-02-12	2	84	88	21	5
2018-02-13	1	5	5	0	1
2018-02-14	1	43	45	0	3
2018-02-15	1	15	72	4	2
2018-02-16	2	33	35	4	1
2018-02-17	0	0	0	0	0
2018-02-18	0	0	0	0	0
2018-02-19	1	8	8	2	0
2018-02-20	0	0	0	0	0
2018-02-21	1	16	17	0	0
2018-02-22	1	39	45	1	3
2018-02-23	2	110	111	4	7
2018-02-24	0	0	0	0	0
2018-02-25	0	0	0	0	0
2018-02-26	1	4	25	5	1
2018-02-27	1	18	19	2	4
2018-02-28	1	402	454	84	133
2018-03-01	1	19	20	3	3
2018-03-02	1	12	13	1	0
2018-03-03	0	0	0	0	0
2018-03-04	0	0	0	0	0
2018-03-05	1	349	393	20	37
2018-03-06	1	53	53	2	2
2018-03-07	0	0	0	0	0
2018-03-08	0	0	0	0	0
2018-03-09	1	33	37	1	3
2018-03-10	3	148	153	4	9
2018-03-11	0	0	0	0	0
2018-03-12	0	0	0	0	0
2018-03-13	1	47	49	3	3
2018-03-14	1	45	46	4	2
2018-03-15	0	0	0	0	0
2018-03-16	1	23	24	2	3
2018-03-17	0	0	0	0	0
2018-03-18	0	0	0	0	0
2018-03-19	1	33	33	1	3
2018-03-20	1	524	583	104	21
2018-03-21	1	30	30	0	5
2018-03-22	1	59	68	3	10
2018-03-23	1	29	33	16	2
2018-03-24	0	0	0	0	0
2018-03-25	0	0	0	0	0
2018-03-26	1	22	24	0	0
2018-03-27	0	0	0	0	0
2018-03-28	1	41	42	6	6
2018-03-29	1	54	61	2	0
2018-03-30	0	0	0	0	0
2018-03-31	0	0	0	0	0
2018-04-01	0	0	0	0	0
2018-04-02	0	0	0	0	0
2018-04-03	0	0	0	0	0
2018-04-04	1	228	245	15	8
2018-04-05	1	14	14	0	0
2018-04-06	1	27	30	1	2
2018-04-07	0	0	0	0	0
2018-04-08	0	0	0	0	0
2018-04-09	1	60	67	0	3
2018-04-10	1	109	117	8	39
2018-04-11	1	34	35	0	0
2018-04-12	3	46	50	0	6
2018-04-13	1	40	43	6	5
2018-04-14	0	0	0	0	0
2018-04-15	0	0	0	0	0
2018-04-16	1	32	32	1	2
2018-04-17	1	15	15	3	1
2018-04-18	1	28	30	1	1
2018-04-19	1	15	15	2	3
2018-04-20	1	24	24	0	2
2018-04-21	0	0	0	0	0
2018-04-22	0	0	0	0	0
2018-04-23	1	40	42	1	21
2018-04-24	1	9	10	1	2
2018-04-25	1	13	13	2	2
2018-04-26	1	42	44	4	5
2018-04-27	0	0	0	0	0
2018-04-28	0	0	0	0	0
2018-04-29	0	0	0	0	0
2018-04-30	1	43	52	2	1
2018-05-01	1	25	26	3	3
2018-05-02	0	0	0	0	0
2018-05-03	2	34	34	2	3
2018-05-04	1	20	20	2	1
2018-05-05	0	0	0	0	0
2018-05-06	0	0	0	0	0
2018-05-07	1	14	14	0	2
2018-05-08	1	20	22	0	3
2018-05-09	1	27	30	8	4
2018-05-10	0	0	0	0	0
2018-05-11	0	0	0	0	0
2018-05-12	0	0	0	0	0
2018-05-13	0	0	0	0	0
2018-05-14	1	10	10	0	3
2018-05-15	1	23	26	1	1
2018-05-16	0	0	0	0	0
2018-05-17	0	0	0	0	0
2018-05-18	1	13	14	3	2
2018-05-19	0	0	0	0	0
2018-05-20	0	0	0	0	0
2018-05-21	0	0	0	0	0
2018-05-22	1	26	26	0	0
2018-05-23	1	13	13	0	1
2018-05-24	0	0	0	0	0
2018-05-25	0	0	0	0	0
2018-05-26	0	0	0	0	0
2018-05-27	0	0	0	0	0
2018-05-28	1	9	9	1	1
2018-05-29	1	59	61	1	3
2018-05-30	1	30	34	0	0
2018-05-31	1	5	5	0	2
2018-06-01	1	18	19	1	2
2018-06-02	0	0	0	0	0
2018-06-03	0	0	0	0	0
2018-06-04	2	75	79	37	3
2018-06-05	1	13	13	1	1
2018-06-06	1	16	18	0	1
2018-06-07	2	354	387	32	38
2018-06-08	1	15	16	5	2
2018-06-09	0	0	0	0	0
2018-06-10	0	0	0	0	0
2018-06-11	1	77	78	2	2
2018-06-12	1	14	14	0	0
2018-06-13	1	15	16	2	0
2018-06-14	0	0	0	0	0
2018-06-15	1	24	24	1	1
2018-06-16	0	0	0	0	0
2018-06-17	0	0	0	0	0
2018-06-18	1	87	93	2	10
2018-06-19	1	379	437	44	116
2018-06-20	1	25	25	0	0
2018-06-21	0	0	0	0	0
2018-06-22	1	79	84	6	3
2018-06-23	0	0	0	0	0
2018-06-24	0	0	0	0	0
2018-06-25	0	0	0	0	0
2018-06-26	1	45	47	2	6
2018-06-27	1	39	39	3	1
2018-06-28	1	19	20	0	4
2018-06-29	0	0	0	0	0
2018-06-30	0	0	0	0	0
2018-07-01	0	0	0	0	0
2018-07-02	1	51	58	0	4
2018-07-03	0	0	0	0	0
2018-07-04	1	50	57	17	5
2018-07-05	1	24	27	3	3
2018-07-06	0	0	0	0	0
2018-07-07	0	0	0	0	0
2018-07-08	0	0	0	0	0
2018-07-09	1	14	14	0	0
2018-07-10	1	44	89	7	2
2018-07-11	0	0	0	0	0
2018-07-12	0	0	0	0	0
2018-07-13	1	31	34	4	3
2018-07-14	0	0	0	0	0
2018-07-15	0	0	0	0	0
2018-07-16	0	0	0	0	0
2018-07-17	1	25	28	0	2
2018-07-18	1	23	26	1	2
2018-07-19	1	29	32	0	2
2018-07-20	1	185	201	14	7
2018-07-21	0	0	0	0	0
2018-07-22	0	0	0	0	0
2018-07-23	1	37	38	5	8
2018-07-24	0	0	0	0	0
2018-07-25	1	70	82	22	20
2018-07-26	1	119	131	13	0
2018-07-27	3	669	795	29	19
2018-07-28	0	0	0	0	0
2018-07-29	0	0	0	0	0
2018-07-30	1	173	192	16	13
2018-07-31	0	0	0	0	0
2018-08-01	1	43	45	6	1
2018-08-02	1	10	12	1	0
2018-08-03	1	124	142	4	6
2018-08-04	0	0	0	0	0
2018-08-05	0	0	0	0	0
2018-08-06	2	146	170	8	5
2018-08-07	1	18	19	2	2
2018-08-08	1	65	70	4	7
2018-08-09	1	56	59	4	1
2018-08-10	1	37	37	4	3
2018-08-11	0	0	0	0	0
2018-08-12	0	0	0	0	0
2018-08-13	1	64	68	5	8
2018-08-14	1	26	27	2	2
2018-08-15	0	0	0	0	0
2018-08-16	1	35	36	2	2
2018-08-17	1	173	191	21	26
2018-08-18	0	0	0	0	0
2018-08-19	0	0	0	0	0
2018-08-20	0	0	0	0	0
2018-08-21	1	12	12	0	0
2018-08-22	1	48	51	8	3
2018-08-23	0	0	0	0	0
2018-08-24	1	56	57	3	2
