day	posts	likes	reactions	comments	shares
2017-07-08	0	0	0	0	0
2017-07-09	0	0	0	0	0
2017-07-10	0	0	0	0	0
2017-07-11	1	28	32	5	1
2017-07-12	1	233	244	47	4
2017-07-13	1	68	70	1	4
2017-07-14	0	0	0	0	0
2017-07-15	0	0	0	0	0
2017-07-16	0	0	0	0	0
2017-07-17	1	44	45	0	3
2017-07-18	0	0	0	0	0
2017-07-19	0	0	0	0	0
2017-07-20	1	24	25	0	2
2017-07-21	1	127	130	1	3
2017-07-22	0	0	0	0	0
2017-07-23	0	0	0	0	0
2017-07-24	0	0	0	0	0
2017-07-25	0	0	0	0	0
2017-07-26	0	0	0	0	0
2017-07-27	0	0	0	0	0
2017-07-28	0	0	0	0	0
2017-07-29	0	0	0	0	0
2017-07-30	0	0	0	0	0
2017-07-31	0	0	0	0	0
2017-08-01	1	46	51	13	4
2017-08-02	0	0	0	0	0
2017-08-03	0	0	0	0	0
2017-08-04	0	0	0	0	0
2017-08-05	0	0	0	0	0
2017-08-06	0	0	0	0	0
2017-08-07	1	36	39	0	2
2017-08-08	0	0	0	0	0
2017-08-09	1	33	39	22	4
2017-08-10	0	0	0	0	0
2017-08-11	0	0	0	0	0
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	1	37	38	2	1
2017-08-16	0	0	0	0	0
2017-08-17	2	99	104	10	1
2017-08-18	1	29	31	0	0
2017-08-19	1	23	26	2	2
2017-08-20	0	0	0	0	0
2017-08-21	2	118	121	7	2
2017-08-22	2	137	143	0	1
2017-08-23	2	103	108	0	1
2017-08-24	1	34	37	0	0
2017-08-25	2	58	63	1	2
2017-08-26	0	0	0	0	0
2017-08-27	1	38	39	1	3
2017-08-28	1	31	32	5	2
2017-08-29	2	54	56	3	6
2017-08-30	1	9	10	2	3
2017-08-31	1	17	18	0	0
2017-09-01	0	0	0	0	0
2017-09-02	0	0	0	0	0
2017-09-03	0	0	0	0	0
2017-09-04	2	92	96	1	9
2017-09-05	0	0	0	0	0
2017-09-06	1	36	37	1	1
2017-09-07	3	121	137	35	9
2017-09-08	2	64	73	1	3
2017-09-09	0	0	0	0	0
2017-09-10	0	0	0	0	0
2017-09-11	0	0	0	0	0
2017-09-12	1	97	110	8	2
2017-09-13	0	0	0	0	0
