day	posts	likes	reactions	comments	shares
2017-07-05	2	378	402	13	48
2017-07-06	0	0	0	0	0
2017-07-07	1	353	385	15	45
2017-07-08	0	0	0	0	0
2017-07-09	1	194	201	94	6
2017-07-10	1	168	174	3	4
2017-07-11	0	0	0	0	0
2017-07-12	1	61	64	2	2
2017-07-13	1	265	289	5	9
2017-07-14	0	0	0	0	0
2017-07-15	1	122	130	11	10
2017-07-16	1	68	68	2	2
2017-07-17	2	152	164	7	9
2017-07-18	1	75	80	6	10
2017-07-19	1	163	171	11	2
2017-07-20	0	0	0	0	0
2017-07-21	2	79	82	5	6
2017-07-22	1	94	99	4	1
2017-07-23	1	244	256	84	25
2017-07-24	1	62	62	1	11
2017-07-25	1	511	557	51	55
2017-07-26	0	0	0	0	0
2017-07-27	1	72	75	4	3
2017-07-28	1	188	201	2	1
2017-07-29	0	0	0	0	0
2017-07-30	1	47	47	4	1
2017-07-31	0	0	0	0	0
2017-08-01	0	0	0	0	0
2017-08-02	1	62	63	3	2
2017-08-03	1	32	32	4	3
2017-08-04	1	21	21	2	5
2017-08-05	1	72	79	1	2
2017-08-06	0	0	0	0	0
2017-08-07	1	211	222	3	4
2017-08-08	0	0	0	0	0
2017-08-09	1	29	30	1	2
2017-08-10	0	0	0	0	0
2017-08-11	0	0	0	0	0
2017-08-12	1	143	157	4	2
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	1	3451	3773	215	349
2017-08-16	1	168	181	17	9
2017-08-17	1	52	52	1	9
2017-08-18	0	0	0	0	0
2017-08-19	1	184	192	11	24
2017-08-20	1	45	45	3	0
2017-08-21	1	215	242	62	18
2017-08-22	1	97	102	6	9
2017-08-23	1	113	119	8	14
2017-08-24	1	46	47	1	15
2017-08-25	1	388	406	11	6
2017-08-26	1	49	51	6	3
2017-08-27	1	61	65	5	5
2017-08-28	2	452	491	35	43
2017-08-29	1	465	514	20	4
2017-08-30	1	24	25	2	1
2017-08-31	0	0	0	0	0
2017-09-01	1	68	76	6	6
2017-09-02	0	0	0	0	0
2017-09-03	1	662	703	49	20
2017-09-04	2	340	357	5	14
2017-09-05	3	315	334	28	15
2017-09-06	1	79	82	7	3
2017-09-07	1	598	646	25	79
2017-09-08	1	131	142	12	23
2017-09-09	0	0	0	0	0
2017-09-10	0	0	0	0	0
2017-09-11	1	27	29	0	0
2017-09-12	1	88	92	48	20
2017-09-13	1	131	138	5	6
2017-09-14	1	44	46	16	4
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	1	27	39	0	5
2017-09-19	1	35	35	0	2
2017-09-20	1	184	207	41	25
2017-09-21	1	468	525	3	8
2017-09-22	0	0	0	0	0
2017-09-23	0	0	0	0	0
2017-09-24	1	379	438	66	0
2017-09-25	1	29	29	0	1
2017-09-26	1	381	471	44	108
2017-09-27	1	32	34	43	2
2017-09-28	0	0	0	0	0
2017-09-29	0	0	0	0	0
2017-09-30	0	0	0	0	0
2017-10-01	0	0	0	0	0
2017-10-02	1	140	170	50	16
2017-10-03	1	38	56	25	2
2017-10-04	1	613	680	145	13
2017-10-05	0	0	0	0	0
2017-10-06	1	8	9	0	0
2017-10-07	1	177	187	125	11
2017-10-08	1	99	118	51	12
2017-10-09	0	0	0	0	0
2017-10-10	1	34	35	8	3
2017-10-11	1	559	636	9	33
2017-10-12	3	369	390	23	11
2017-10-13	1	30	32	3	0
2017-10-14	0	0	0	0	0
2017-10-15	0	0	0	0	0
2017-10-16	1	1203	1296	54	67
2017-10-17	1	50	53	1	3
2017-10-18	1	36	38	6	4
2017-10-19	1	282	307	17	3
2017-10-20	1	83	83	1	13
2017-10-21	0	0	0	0	0
2017-10-22	1	389	610	68	0
2017-10-23	1	16	16	2	0
2017-10-24	1	19	19	4	4
2017-10-25	1	474	647	152	16
2017-10-26	2	133	142	89	7
2017-10-27	1	2596	2607	1	0
2017-10-28	1	733	813	16	21
2017-10-29	1	25	25	6	0
2017-10-30	1	296	330	89	20
2017-10-31	2	398	465	18	48
2017-11-01	1	65	69	2	0
2017-11-02	1	64	70	2	1
2017-11-03	1	8	8	1	0
2017-11-04	0	0	0	0	0
2017-11-05	0	0	0	0	0
2017-11-06	0	0	0	0	0
2017-11-07	2	280	304	21	10
2017-11-08	1	87	87	2	0
2017-11-09	1	75	77	72	4
2017-11-10	1	26	27	1	0
2017-11-11	0	0	0	0	0
2017-11-12	0	0	0	0	0
2017-11-13	1	984	1096	283	41
2017-11-14	1	77	98	53	11
2017-11-15	0	0	0	0	0
2017-11-16	1	306	340	11	5
2017-11-17	0	0	0	0	0
2017-11-18	0	0	0	0	0
2017-11-19	1	70	80	3	3
2017-11-20	2	138	157	0	15
2017-11-21	1	239	276	33	0
2017-11-22	1	58	67	14	11
2017-11-23	1	98	107	117	6
2017-11-24	0	0	0	0	0
2017-11-25	0	0	0	0	0
2017-11-26	1	182	197	1	6
2017-11-27	1	150	154	7	5
2017-11-28	1	9	9	0	2
2017-11-29	1	69	71	21	5
2017-11-30	1	46	46	0	3
2017-12-01	0	0	0	0	0
2017-12-02	1	264	297	44	32
2017-12-03	0	0	0	0	0
2017-12-04	1	243	252	2	5
2017-12-05	1	9	13	0	0
2017-12-06	0	0	0	0	0
2017-12-07	1	26	29	4	4
2017-12-08	1	394	409	55	8
2017-12-09	0	0	0	0	0
2017-12-10	2	932	1033	25	17
2017-12-11	1	575	716	275	67
2017-12-12	2	501	603	61	127
2017-12-13	0	0	0	0	0
2017-12-14	1	393	430	534	16
2017-12-15	1	75	80	11	2
2017-12-16	1	727	877	163	122
2017-12-17	1	69	72	21	5
2017-12-18	1	177	193	27	21
2017-12-19	2	202	210	90	5
2017-12-20	0	0	0	0	0
2017-12-21	1	252	279	35	13
2017-12-22	1	13	13	1	3
2017-12-23	1	15	15	0	1
2017-12-24	1	16	16	3	6
2017-12-25	1	574	615	11	8
2017-12-26	1	139	152	2	14
2017-12-27	0	0	0	0	0
2017-12-28	0	0	0	0	0
2017-12-29	1	685	765	21	24
2017-12-30	0	0	0	0	0
2017-12-31	0	0	0	0	0
2018-01-01	1	274	289	8	7
2018-01-02	0	0	0	0	0
2018-01-03	0	0	0	0	0
2018-01-04	2	62	63	25	2
2018-01-05	1	130	136	5	3
2018-01-06	0	0	0	0	0
2018-01-07	0	0	0	0	0
2018-01-08	0	0	0	0	0
2018-01-09	1	79	89	10	13
2018-01-10	1	141	156	9	7
2018-01-11	1	64	67	6	4
2018-01-12	1	53	55	2	3
2018-01-13	1	14	14	12	2
2018-01-14	0	0	0	0	0
2018-01-15	2	64	70	2	7
2018-01-16	0	0	0	0	0
2018-01-17	2	150	158	13	5
2018-01-18	2	139	167	49	12
2018-01-19	1	123	189	26	25
2018-01-20	1	29	29	10	3
2018-01-21	0	0	0	0	0
2018-01-22	1	1165	1314	77	30
2018-01-23	1	49	51	13	4
2018-01-24	1	84	99	1	5
2018-01-25	1	34	35	20	4
2018-01-26	1	39	45	2	0
2018-01-27	0	0	0	0	0
2018-01-28	1	29	29	0	3
2018-01-29	1	141	165	21	9
2018-01-30	1	6	6	2	0
2018-01-31	1	12	13	1	0
2018-02-01	1	92	94	54	2
2018-02-02	0	0	0	0	0
2018-02-03	2	993	1110	33	23
2018-02-04	1	107	114	1	3
2018-02-05	1	33	35	7	3
2018-02-06	1	50	52	0	1
2018-02-07	1	41	41	4	2
2018-02-08	2	121	125	21	8
2018-02-09	2	94	98	0	4
2018-02-10	0	0	0	0	0
2018-02-11	1	16	17	4	2
2018-02-12	0	0	0	0	0
2018-02-13	1	88	96	0	5
2018-02-14	2	144	158	16	8
2018-02-15	1	33	35	12	2
2018-02-16	1	91	96	2	4
2018-02-17	0	0	0	0	0
2018-02-18	1	22	23	2	0
2018-02-19	1	16	17	5	0
2018-02-20	1	55	58	2	1
2018-02-21	1	442	499	113	6
2018-02-22	1	33	35	7	1
2018-02-23	0	0	0	0	0
2018-02-24	1	486	547	18	18
2018-02-25	0	0	0	0	0
2018-02-26	1	340	379	16	11
2018-02-27	2	94	99	13	8
2018-02-28	1	593	734	78	142
2018-03-01	1	344	379	16	8
2018-03-02	1	292	327	6	19
2018-03-03	2	1782	1996	152	99
2018-03-04	1	22	24	2	1
2018-03-05	0	0	0	0	0
2018-03-06	1	33	46	1	5
2018-03-07	1	203	220	53	25
2018-03-08	1	229	254	4	12
2018-03-09	1	122	136	57	7
2018-03-10	1	324	351	10	12
2018-03-11	1	14	14	1	2
2018-03-12	2	43	43	9	5
2018-03-13	1	25	29	2	2
2018-03-14	1	196	243	3	35
2018-03-15	1	22	24	1	1
2018-03-16	1	18	19	2	1
2018-03-17	1	19	19	1	0
2018-03-18	1	131	135	5	1
2018-03-19	0	0	0	0	0
2018-03-20	1	13	13	1	1
2018-03-21	1	101	102	10	2
2018-03-22	1	32	34	2	0
2018-03-23	1	394	458	10	0
2018-03-24	1	50	53	0	0
2018-03-25	0	0	0	0	0
2018-03-26	1	269	295	5	16
2018-03-27	1	356	408	29	43
2018-03-28	2	516	582	8	14
2018-03-29	2	63	65	1	1
2018-03-30	0	0	0	0	0
2018-03-31	1	228	254	2	0
2018-04-01	1	370	398	5	17
2018-04-02	0	0	0	0	0
2018-04-03	1	17	17	1	1
2018-04-04	1	117	121	9	1
2018-04-05	1	52	60	12	9
2018-04-06	1	98	99	1	8
2018-04-07	1	372	407	33	5
2018-04-08	0	0	0	0	0
2018-04-09	1	82	94	13	2
2018-04-10	1	26	30	1	1
2018-04-11	1	47	53	3	0
2018-04-12	1	14	14	2	1
2018-04-13	0	0	0	0	0
2018-04-14	1	11	12	10	0
2018-04-15	0	0	0	0	0
2018-04-16	0	0	0	0	0
2018-04-17	2	85	87	1	6
2018-04-18	1	86	92	2	1
2018-04-19	1	411	467	14	13
2018-04-20	0	0	0	0	0
2018-04-21	1	92	99	1	0
2018-04-22	0	0	0	0	0
2018-04-23	1	107	120	0	5
2018-04-24	1	76	81	5	12
2018-04-25	1	2	2	0	0
2018-04-26	1	66	69	2	0
2018-04-27	0	0	0	0	0
2018-04-28	0	0	0	0	0
2018-04-29	1	23	36	15	10
2018-04-30	3	115	117	26	1
2018-05-01	1	42	42	1	3
2018-05-02	0	0	0	0	0
2018-05-03	0	0	0	0	0
2018-05-04	0	0	0	0	0
2018-05-05	1	90	94	0	5
2018-05-06	0	0	0	0	0
2018-05-07	1	268	325	28	16
2018-05-08	1	9	14	7	1
2018-05-09	1	3	3	0	1
2018-05-10	1	46	51	4	0
2018-05-11	0	0	0	0	0
2018-05-12	0	0	0	0	0
2018-05-13	1	135	139	0	0
2018-05-14	1	4	4	0	0
2018-05-15	0	0	0	0	0
2018-05-16	0	0	0	0	0
2018-05-17	1	17	17	0	2
2018-05-18	1	28	29	12	5
2018-05-19	0	0	0	0	0
2018-05-20	0	0	0	0	0
2018-05-21	0	0	0	0	0
2018-05-22	1	5	5	0	1
2018-05-23	3	579	649	193	13
2018-05-24	0	0	0	0	0
2018-05-25	0	0	0	0	0
2018-05-26	1	94	104	0	6
2018-05-27	2	111	112	10	8
