day	posts	likes	reactions	comments	shares
2017-07-09	0	0	0	0	0
2017-07-10	1	15	17	0	0
2017-07-11	0	0	0	0	0
2017-07-12	4	66	66	44	7
2017-07-13	1	35	35	0	2
2017-07-14	3	124	129	2	8
2017-07-15	1	51	52	8	0
2017-07-16	0	0	0	0	0
2017-07-17	0	0	0	0	0
2017-07-18	0	0	0	0	0
2017-07-19	1	5	5	0	2
2017-07-20	1	11	11	0	0
2017-07-21	1	11	11	1	1
2017-07-22	0	0	0	0	0
2017-07-23	1	22	22	0	1
2017-07-24	2	54	57	2	4
2017-07-25	0	0	0	0	0
2017-07-26	1	8	9	2	0
2017-07-27	2	22	23	0	0
2017-07-28	1	7	7	3	0
2017-07-29	1	6	6	0	1
2017-07-30	0	0	0	0	0
2017-07-31	0	0	0	0	0
2017-08-01	0	0	0	0	0
2017-08-02	2	94	96	11	7
2017-08-03	2	98	102	1	16
2017-08-04	1	51	52	2	3
2017-08-05	1	13	13	0	4
2017-08-06	0	0	0	0	0
2017-08-07	1	78	82	13	0
2017-08-08	0	0	0	0	0
2017-08-09	0	0	0	0	0
2017-08-10	1	16	16	2	0
2017-08-11	1	13	13	4	0
2017-08-12	0	0	0	0	0
2017-08-13	0	0	0	0	0
2017-08-14	0	0	0	0	0
2017-08-15	0	0	0	0	0
2017-08-16	0	0	0	0	0
2017-08-17	0	0	0	0	0
2017-08-18	0	0	0	0	0
2017-08-19	1	6	6	1	0
2017-08-20	0	0	0	0	0
2017-08-21	1	13	14	1	8
2017-08-22	0	0	0	0	0
2017-08-23	1	6	6	1	0
2017-08-24	0	0	0	0	0
2017-08-25	1	27	28	3	0
2017-08-26	0	0	0	0	0
2017-08-27	0	0	0	0	0
2017-08-28	2	197	218	8	10
2017-08-29	1	19	19	0	0
2017-08-30	0	0	0	0	0
2017-08-31	0	0	0	0	0
2017-09-01	0	0	0	0	0
2017-09-02	0	0	0	0	0
2017-09-03	0	0	0	0	0
2017-09-04	2	11	11	0	0
2017-09-05	2	80	82	0	3
2017-09-06	1	4	4	0	0
2017-09-07	1	10	10	0	1
2017-09-08	0	0	0	0	0
2017-09-09	1	6	6	1	0
2017-09-10	0	0	0	0	0
2017-09-11	0	0	0	0	0
2017-09-12	3	26	31	5	3
2017-09-13	0	0	0	0	0
2017-09-14	0	0	0	0	0
2017-09-15	0	0	0	0	0
2017-09-16	0	0	0	0	0
2017-09-17	0	0	0	0	0
2017-09-18	0	0	0	0	0
2017-09-19	1	70	73	2	4
2017-09-20	2	126	132	17	6
2017-09-21	2	27	28	0	2
2017-09-22	0	0	0	0	0
2017-09-23	0	0	0	0	0
2017-09-24	0	0	0	0	0
2017-09-25	1	21	21	3	0
2017-09-26	1	2	3	0	1
2017-09-27	2	25	25	1	0
2017-09-28	0	0	0	0	0
2017-09-29	4	62	62	15	12
2017-09-30	0	0	0	0	0
2017-10-01	1	59	60	0	1
2017-10-02	1	27	30	0	0
2017-10-03	3	104	116	0	8
2017-10-04	2	55	58	3	6
2017-10-05	3	62	64	5	5
2017-10-06	1	3	3	1	1
2017-10-07	2	59	62	1	3
2017-10-08	2	57	57	0	3
2017-10-09	0	0	0	0	0
2017-10-10	2	64	77	10	2
2017-10-11	3	105	112	6	8
2017-10-12	2	16	19	2	1
2017-10-13	3	33	35	1	4
2017-10-14	2	51	52	0	1
2017-10-15	1	19	21	0	2
2017-10-16	2	4	5	0	0
2017-10-17	2	52	53	7	2
2017-10-18	2	98	102	11	8
2017-10-19	2	4	4	0	0
2017-10-20	1	4	4	0	0
2017-10-21	0	0	0	0	0
2017-10-22	0	0	0	0	0
2017-10-23	0	0	0	0	0
2017-10-24	0	0	0	0	0
2017-10-25	3	126	130	6	4
2017-10-26	2	2	3	0	0
2017-10-27	2	56	60	28	38
2017-10-28	3	21	21	0	1
2017-10-29	2	13	14	0	4
2017-10-30	2	5	5	0	0
2017-10-31	1	4	6	2	0
2017-11-01	2	31	31	0	0
2017-11-02	2	32	34	0	4
2017-11-03	4	80	87	2	10
2017-11-04	1	11	12	0	0
2017-11-05	0	0	0	0	0
2017-11-06	0	0	0	0	0
2017-11-07	1	13	14	0	1
2017-11-08	1	49	49	2	5
2017-11-09	1	11	11	0	1
2017-11-10	0	0	0	0	0
2017-11-11	1	6	6	0	0
2017-11-12	0	0	0	0	0
2017-11-13	0	0	0	0	0
2017-11-14	5	20	20	1	5
2017-11-15	2	187	202	5	40
2017-11-16	4	84	98	156	17
2017-11-17	2	55	64	11	12
2017-11-18	1	52	65	8	29
2017-11-19	1	4	4	1	0
2017-11-20	1	4	4	0	0
2017-11-21	3	51	52	13	1
2017-11-22	3	11	11	1	0
2017-11-23	2	27	27	5	3
2017-11-24	1	4	4	0	0
2017-11-25	2	15	15	0	0
2017-11-26	0	0	0	0	0
2017-11-27	2	55	58	13	4
2017-11-28	2	124	131	1	7
2017-11-29	0	0	0	0	0
2017-11-30	1	16	17	2	0
2017-12-01	1	40	42	0	2
2017-12-02	0	0	0	0	0
